"3566394":{'stabilizer.thrust': 22457.0, 'motor.m1': 35648, 'motor.m2': 45588, 'motor.m3': 47192, 'motor.m4': 34736}
"3566414":{'stabilizer.thrust': 33395.0, 'motor.m1': 40888, 'motor.m2': 40010, 'motor.m3': 41184, 'motor.m4': 39206}
"3566434":{'stabilizer.thrust': 8331.0, 'motor.m1': 37301, 'motor.m2': 39853, 'motor.m3': 44269, 'motor.m4': 39473}
"3566454":{'stabilizer.thrust': 64106.0, 'motor.m1': 39012, 'motor.m2': 36294, 'motor.m3': 42162, 'motor.m4': 42252}
"3566474":{'stabilizer.thrust': 29692.0, 'motor.m1': 42178, 'motor.m2': 37848, 'motor.m3': 38878, 'motor.m4': 39252}
"3566494":{'stabilizer.thrust': 42751.0, 'motor.m1': 39022, 'motor.m2': 39646, 'motor.m3': 39900, 'motor.m4': 36720}
"3566514":{'stabilizer.thrust': 59230.0, 'motor.m1': 42331, 'motor.m2': 34931, 'motor.m3': 36405, 'motor.m4': 40857}
"3566534":{'stabilizer.thrust': 63199.0, 'motor.m1': 37823, 'motor.m2': 38259, 'motor.m3': 41893, 'motor.m4': 37633}
"3566554":{'stabilizer.thrust': 34489.0, 'motor.m1': 38266, 'motor.m2': 35038, 'motor.m3': 41224, 'motor.m4': 40632}
"3566574":{'stabilizer.thrust': 24989.0, 'motor.m1': 31325, 'motor.m2': 36737, 'motor.m3': 46101, 'motor.m4': 37777}
"3566594":{'stabilizer.thrust': 13332.0, 'motor.m1': 32834, 'motor.m2': 34856, 'motor.m3': 44418, 'motor.m4': 38628}
"3566614":{'stabilizer.thrust': 24177.0, 'motor.m1': 40641, 'motor.m2': 38003, 'motor.m3': 37479, 'motor.m4': 35805}
"3566634":{'stabilizer.thrust': 61222.0, 'motor.m1': 42733, 'motor.m2': 37701, 'motor.m3': 35743, 'motor.m4': 36331}
"3566654":{'stabilizer.thrust': 14930.0, 'motor.m1': 37115, 'motor.m2': 40595, 'motor.m3': 41721, 'motor.m4': 34401}
"3566674":{'stabilizer.thrust': 36588.0, 'motor.m1': 32352, 'motor.m2': 38842, 'motor.m3': 46298, 'motor.m4': 35652}
"3566694":{'stabilizer.thrust': 34133.0, 'motor.m1': 36563, 'motor.m2': 36527, 'motor.m3': 43529, 'motor.m4': 39561}
"3566714":{'stabilizer.thrust': 42352.0, 'motor.m1': 36626, 'motor.m2': 36274, 'motor.m3': 42874, 'motor.m4': 40534}
"3566734":{'stabilizer.thrust': 44675.0, 'motor.m1': 38756, 'motor.m2': 36352, 'motor.m3': 39858, 'motor.m4': 39330}
"3566754":{'stabilizer.thrust': 49745.0, 'motor.m1': 40627, 'motor.m2': 34631, 'motor.m3': 37327, 'motor.m4': 39743}
"3566774":{'stabilizer.thrust': 20019.0, 'motor.m1': 37857, 'motor.m2': 32367, 'motor.m3': 40283, 'motor.m4': 41357}
"3566794":{'stabilizer.thrust': 37584.0, 'motor.m1': 40450, 'motor.m2': 33340, 'motor.m3': 37000, 'motor.m4': 40322}
"3566814":{'stabilizer.thrust': 32603.0, 'motor.m1': 42127, 'motor.m2': 34011, 'motor.m3': 37297, 'motor.m4': 41697}
"3566834":{'stabilizer.thrust': 64900.0, 'motor.m1': 33022, 'motor.m2': 37286, 'motor.m3': 46492, 'motor.m4': 38836}
"3566854":{'stabilizer.thrust': 8684.0, 'motor.m1': 34306, 'motor.m2': 38794, 'motor.m3': 44646, 'motor.m4': 37010}
"3566874":{'stabilizer.thrust': 20944.0, 'motor.m1': 40903, 'motor.m2': 38051, 'motor.m3': 36571, 'motor.m4': 36351}
"3566894":{'stabilizer.thrust': 5869.0, 'motor.m1': 38776, 'motor.m2': 34372, 'motor.m3': 38526, 'motor.m4': 39966}
"3566914":{'stabilizer.thrust': 21288.0, 'motor.m1': 37284, 'motor.m2': 31590, 'motor.m3': 41194, 'motor.m4': 42840}
"3566934":{'stabilizer.thrust': 31963.0, 'motor.m1': 45136, 'motor.m2': 33940, 'motor.m3': 33614, 'motor.m4': 41406}
"3566954":{'stabilizer.thrust': 54724.0, 'motor.m1': 33815, 'motor.m2': 42327, 'motor.m3': 49395, 'motor.m4': 37107}
"3566974":{'stabilizer.thrust': 50199.0, 'motor.m1': 39150, 'motor.m2': 43318, 'motor.m3': 44402, 'motor.m4': 36730}
"3566994":{'stabilizer.thrust': 43953.0, 'motor.m1': 41261, 'motor.m2': 39359, 'motor.m3': 42993, 'motor.m4': 41935}
"3567014":{'stabilizer.thrust': 46826.0, 'motor.m1': 52108, 'motor.m2': 42536, 'motor.m3': 32046, 'motor.m4': 38902}
"3567034":{'stabilizer.thrust': 55100.0, 'motor.m1': 53818, 'motor.m2': 31962, 'motor.m3': 29142, 'motor.m4': 47730}
"3567054":{'stabilizer.thrust': 46207.0, 'motor.m1': 35091, 'motor.m2': 37191, 'motor.m3': 49219, 'motor.m4': 44083}
"3567074":{'stabilizer.thrust': 1090.0, 'motor.m1': 32219, 'motor.m2': 41029, 'motor.m3': 53223, 'motor.m4': 40457}
"3567094":{'stabilizer.thrust': 35868.0, 'motor.m1': 33610, 'motor.m2': 44920, 'motor.m3': 51006, 'motor.m4': 36912}
"3567114":{'stabilizer.thrust': 5783.0, 'motor.m1': 41749, 'motor.m2': 42247, 'motor.m3': 42693, 'motor.m4': 39287}
